N,threads,max_abs_error,mean_abs_error,max_rel_error
200,1,1600.0,130.9099,8.875834472261784e-07
200,2,1600.0,130.9099,8.875834472261784e-07
200,4,1600.0,130.9099,8.875834472261784e-07
200,8,1600.0,130.9099,8.875834472261784e-07
400,1,36864.0,2108.923525,1.695478018833935e-06
400,2,36864.0,2108.923525,1.695478018833935e-06
400,4,36864.0,2108.923525,1.695478018833935e-06
400,8,36864.0,2108.923525,1.695478018833935e-06
800,1,750096.0,42128.16205,2.3013145193768553e-06
800,2,750096.0,42128.16205,2.3013145193768553e-06
800,4,750096.0,42128.16205,2.3013145193768553e-06
800,8,750096.0,42128.16205,2.3013145193768553e-06
1200,1,4635848.0,256270.08062222222,2.476203008457011e-06
1200,2,4635848.0,256270.08062222222,2.476203008457011e-06
1200,4,4635848.0,256270.08062222222,2.476203008457011e-06
1200,8,4635848.0,256270.08062222222,2.476203008457011e-06
1600,1,18179808.0,929280.306975,2.2672861860991435e-06
1600,2,18179808.0,929280.306975,2.2672861860991435e-06
1600,4,18179808.0,929280.306975,2.2672861860991435e-06
1600,8,18179808.0,929280.306975,2.2672861860991435e-06
2000,1,48755728.0,2533133.155588,2.5316134939923827e-06
2000,2,48755728.0,2533133.155588,2.5316134939923827e-06
2000,4,48755728.0,2533133.155588,2.5316134939923827e-06
2000,8,48755728.0,2533133.155588,2.5316134939923827e-06
